,symbol,exchange,name,date,type,iexId,region,currency,isEnabled,figi,cik
8118,UNFI,NYS,United Natural Foods Inc.,2020-03-28,cs,IEX_505352595A432D52,US,USD,True,BBG000BXB1M5,1020859
8119,UNG,PSE,United States Natural Gas Fund LP,2020-03-28,et,IEX_57464C4735462D52,US,USD,True,BBG000R695F9,
8120,UNH,NYS,UnitedHealth Group Incorporated,2020-03-28,cs,IEX_4747505654422D52,US,USD,True,BBG000CH5208,731766
8121,UNIT,NAS,Uniti Group Inc,2020-03-28,cs,IEX_5131343859342D52,US,USD,True,BBG002B67HB2,1620280
8122,UNL,PSE,United States 12 Month Natural Gas Fund LP,2020-03-28,et,IEX_5359424A4D5A2D52,US,USD,True,BBG000PWD3S0,
8123,UNM,NYS,Unum Group,2020-03-28,cs,IEX_504B5A39354E2D52,US,USD,True,BBG000BW2QX0,5513
8124,UNMA,NYS,Unum Group 6.25 % Notes 2018-15.06.58 Global,2020-03-28,ps,IEX_5759563447532D52,US,USD,True,,
8125,UNOV,BATS,Innovator S&P 500 Ultra Buffer ETF - November,2020-03-28,et,IEX_5242473343542D52,US,USD,True,BBG00QPZ5458,
8126,UNP,NYS,Union Pacific Corporation,2020-03-28,cs,IEX_4D31465736302D52,US,USD,True,BBG000BW3299,100885
8127,UNT,NYS,Unit Corporation,2020-03-28,cs,IEX_47395A594A442D52,US,USD,True,BBG000BW4804,798949
8128,UNTY,NAS,Unity Bancorp Inc.,2020-03-28,cs,IEX_5637344C335A2D52,US,USD,True,BBG000K0KW21,920427
8129,UNVR,NYS,Univar Solutions Inc.,2020-03-28,cs,IEX_44464D384B4B2D52,US,USD,True,BBG000BDHD29,1494319
8130,UOCT,BATS,Innovator S&P 500 Ultra Buffer ETF - October,2020-03-28,et,IEX_4830354D48362D52,US,USD,True,BBG00M4P0CP7,
8131,UONE,NAS,Urban One Inc Class A,2020-03-28,cs,IEX_524C37484A332D52,US,USD,True,BBG000C2WTG5,1041657
8132,UONEK,NAS,Urban One Inc Class D,2020-03-28,cs,IEX_434A504651482D52,US,USD,True,BBG000CCCR06,1041657
8133,UPLD,NAS,Upland Software Inc.,2020-03-28,cs,IEX_5337304C395A2D52,US,USD,True,BBG005KC3JR5,1505155
8134,UPRO,PSE,ProShares UltraPro S&P500,2020-03-28,et,IEX_4B33443143562D52,US,USD,True,BBG000N2YG88,
8135,UPS,NYS,United Parcel Service Inc. Class B,2020-03-28,cs,IEX_4B50464D48572D52,US,USD,True,BBG000L9CV04,1090727
8136,UPV,PSE,ProShares Ultra FTSE Europe,2020-03-28,et,IEX_42324A5138302D52,US,USD,True,BBG000QTLVQ7,
8137,UPW,PSE,ProShares Ultra Utilities,2020-03-28,et,IEX_5332384634432D52,US,USD,True,BBG000QXG0T9,
8138,UPWK,NAS,Upwork Inc.,2020-03-28,cs,IEX_475058574D332D52,US,USD,True,BBG00FBJ6390,1627475
8139,URA,PSE,Global X Uranium ETF,2020-03-28,et,IEX_4843353034332D52,US,USD,True,BBG0018JWV58,
8140,URBN,NAS,Urban Outfitters Inc.,2020-03-28,cs,IEX_584B545A57522D52,US,USD,True,BBG000BL79J3,912615
8141,URE,PSE,ProShares Ultra Real Estate,2020-03-28,et,IEX_4C53525944512D52,US,USD,True,BBG000QXLPJ9,
8142,URG,ASE,Ur-Energy Inc.,2020-03-28,cs,IEX_475A4E364E382D52,US,USD,True,BBG000M5BMH4,1375205
8143,URGN,NAS,UroGen Pharma Ltd.,2020-03-28,cs,IEX_5335445246432D52,US,USD,True,BBG00GFCC613,1668243
8144,URI,NYS,United Rentals Inc.,2020-03-28,cs,IEX_57305A3457362D52,US,USD,True,BBG000BXMFC3,1067701
8145,URNM,PSE,NorthShore Global Uranium Mining ETF,2020-03-28,et,IEX_4E475A4342542D52,US,USD,True,BBG00R0TBRV0,
8146,UROV,NAS,Urovant Sciences Ltd.,2020-03-28,cs,IEX_4D44324439582D52,US,USD,True,BBG00LFWJQP1,1740547
8147,URR,PSE,Market Vectors-Double Long Euro ETN,2020-03-28,et,IEX_4446333446312D52,US,USD,True,BBG000BDQ4J1,
8148,URTH,PSE,iShares MSCI World ETF,2020-03-28,et,IEX_5047375A37462D52,US,USD,True,BBG002D9R2H9,
8149,URTY,PSE,ProShares UltraPro Russell2000,2020-03-28,et,IEX_4C50424439562D52,US,USD,True,BBG000QBDZ04,
8150,USA,NYS,Liberty All Star Equity Fund,2020-03-28,cef,IEX_484842534E582D52,US,USD,True,BBG000BW4TB6,
8151,USAC,NYS,USA Compression Partners LP,2020-03-28,cs,IEX_464A444235562D52,US,USD,True,BBG001QYKF35,1522727
8152,USAI,PSE,Pacer American Energy Independence ETF,2020-03-28,et,IEX_4658525159352D52,US,USD,True,BBG00JGGY016,
8153,USAK,NAS,USA Truck Inc.,2020-03-28,cs,IEX_43385852504D2D52,US,USD,True,BBG000CK6317,883945
8154,USAP,NAS,Universal Stainless & Alloy Products Inc.,2020-03-28,cs,IEX_4735474E5A522D52,US,USD,True,BBG000DN2671,931584
8155,USAS,ASE,Americas Gold and Silver Corp.,2020-03-28,cs,IEX_44544C374C362D52,US,USD,True,BBG000CG1PT2,
8156,USAU,NAS,U.S. Gold Corp.,2020-03-28,cs,IEX_52543742314C2D52,US,USD,True,BBG000H95997,27093
8157,USB,NYS,U.S. Bancorp,2020-03-28,cs,IEX_57594A5430432D52,US,USD,True,BBG000FFDM15,36104
8158,USB-A,NYS,U.S. Bancorp Deposit Shs Repr 1/1000th Non-Cum Perp Pfd Sh Series A,2020-03-28,ps,IEX_4A5A303639432D52,US,USD,True,,
8159,USB-H,NYS,U.S. Bancorp Deposit Shs Repr 1/1000th Non-Cum Perpetual Pfd Shs Series B,2020-03-28,ps,IEX_5758473830572D52,US,USD,True,,
8160,USB-M,NYS,U.S. Bancorp Deposit Shs Repr 1/1000th Non Cum Perp Pfd Shs Series-F,2020-03-28,ps,IEX_4431395246302D52,US,USD,True,,
8161,USB-O,NYS,U.S. Bancorp Deposit Shs Repr 1/1000th 5.15 % Non-Cum Perp Pfd Shs Series H,2020-03-28,ps,IEX_52545148335A2D52,US,USD,True,,
8162,USB-P,NYS,US Bancorp Depositary Shs Repr 1/1000th Non-Cum Perp Pfd Registered Shs Series K,2020-03-28,ps,IEX_4B31445331572D52,US,USD,True,,
8163,USCI,PSE,United States Commodity Index Fund,2020-03-28,et,IEX_5644593758512D52,US,USD,True,BBG0014JY1C8,
8164,USCR,NAS,U.S. Concrete Inc.,2020-03-28,cs,IEX_535A4E5131482D52,US,USD,True,BBG0015S0P31,1073429
8165,USD,PSE,ProShares Ultra Semiconductors,2020-03-28,et,IEX_4D43593348372D52,US,USD,True,BBG000QXLZT6,
8166,USDP,NYS,USD Partners LP,2020-03-28,cs,IEX_4E37323356582D52,US,USD,True,BBG00729LTJ5,1610682
8167,USDU,PSE,WisdomTree Bloomberg US Dollar Bullish Fund,2020-03-28,et,IEX_44574A4242522D52,US,USD,True,BBG005PXGB51,
8168,USDY,PSE,Pacific Global US Equity Income ETF,2020-03-28,et,IEX_51563233304B2D52,US,USD,True,BBG00N9SJQZ2,
8169,USEG,NAS,U.S. Energy Corp.,2020-03-28,cs,IEX_53395A4D42562D52,US,USD,True,BBG000BW5LG7,101594
8170,USEP,BATS,Innovator S&P 500 Ultra Buffer ETF - September,2020-03-28,et,IEX_4658393432472D52,US,USD,True,BBG00Q402DW1,
8171,USEQ,BATS,Invesco Russell 1000 Enhanced Equal Weight ETF,2020-03-28,et,IEX_4E42374B53472D52,US,USD,True,BBG00H4B1F26,
8172,USFD,NYS,US Foods Holding Corp.,2020-03-28,cs,IEX_4D4B324B36482D52,US,USD,True,BBG00C6H6D40,1665918
8173,USFR,PSE,WisdomTree Floating Rate Treasury Fund,2020-03-28,et,IEX_4E58435153572D52,US,USD,True,BBG005YHYNF9,
8174,USHG,PSE,AGFiQ Dynamic Hedged U.S. Equity ETF,2020-03-28,et,IEX_4B4C3042394E2D52,US,USD,True,BBG00P83CLP2,
8175,USHY,BATS,iShares Broad USD High Yield Corporate Bond ETF,2020-03-28,et,IEX_4748575731512D52,US,USD,True,BBG00J2DRZT9,
8176,USI,PSE,Principal Ultra-Short Active Income ETF,2020-03-28,et,IEX_4B443447465A2D52,US,USD,True,BBG00NZLBBH9,
8177,USIG,NAS,iShares Broad USD Investment Grade Corporate Bond ETF,2020-03-28,et,IEX_4E34533734572D52,US,USD,True,BBG000QN2QQ2,
8178,USIO,NAS,Usio Inc.,2020-03-28,cs,IEX_424D395838322D52,US,USD,True,BBG000CKGG53,1088034
8179,USL,PSE,United States 12 Month Oil Fund LP,2020-03-28,et,IEX_4436394B54462D52,US,USD,True,BBG000R0KYZ4,
8180,USLB,NAS,Invesco Russell 1000 Low Beta Equal Weight ETF,2020-03-28,et,IEX_5348354B594A2D52,US,USD,True,BBG00BCHHBT0,
8181,USLM,NAS,United States Lime & Minerals Inc.,2020-03-28,cs,IEX_4456514651372D52,US,USD,True,BBG000D7P047,82020
8182,USLV,NAS,VelocityShares 3x Long Silver ETN,2020-03-28,et,IEX_4C30425244372D52,US,USD,True,BBG0025L2QC0,1159510
8183,USM,NYS,United States Cellular Corp,2020-03-28,cs,IEX_5344444732322D52,US,USD,True,BBG000BW6P59,821130
8184,USMC,NAS,Principal U.S. Mega-Cap Multi-Factor Index ETF,2020-03-28,et,IEX_5846424D524D2D52,US,USD,True,BBG00HY0ZL36,
8185,USMF,BATS,WisdomTree U.S. Multifactor Fund,2020-03-28,et,IEX_47593951345A2D52,US,USD,True,BBG00H1P6LD8,
8186,USMV,BATS,iShares Edge MSCI Min Vol USA ETF,2020-03-28,et,IEX_4D4E394433502D52,US,USD,True,BBG0025X2FJ1,
8187,USNA,NYS,USANA Health Sciences Inc.,2020-03-28,cs,IEX_5447344C34522D52,US,USD,True,BBG000BX28M0,896264
8188,USO,PSE,United States Oil Fund LP,2020-03-28,et,IEX_5059374E484A2D52,US,USD,True,BBG000NL49J3,1327068
8189,USOI,NAS,Credit Suisse X-Links Crude Oil Shares Covered Call ETN,2020-03-28,et,IEX_58384B5456582D52,US,USD,True,BBG00GHBF6K9,
8190,USPH,NYS,U.S. Physical Therapy Inc.,2020-03-28,cs,IEX_4B51514A4D422D52,US,USD,True,BBG000CSRSG6,885978
8191,USRT,PSE,iShares Core U.S. REIT ETF,2020-03-28,et,IEX_4731354759522D52,US,USD,True,BBG000R72F62,
8192,USSG,PSE,Xtrackers MSCI USA ESG Leaders Equity ETF,2020-03-28,et,IEX_5643383358362D52,US,USD,True,BBG00NJ41SD3,
8193,UST,PSE,ProShares Ultra 7-10 Year Treasury,2020-03-28,et,IEX_5834384354342D52,US,USD,True,BBG000BH4371,811669
8194,USTB,PSE,VictoryShares USAA Core Short-Term Bond ETF,2020-03-28,et,IEX_44544E5332372D52,US,USD,True,BBG00HZ6R8J3,
8195,USV,PSE,ETRACS CMCI Silver Total Return ETN,2020-03-28,et,IEX_5758374D48532D52,US,USD,True,BBG000VFDZ72,
8196,USVM,PSE,VictoryShares USAA MSCI USA Small Cap Value Momentum ETF,2020-03-28,et,IEX_4437484C5A512D52,US,USD,True,BBG00HZ6RBT5,
8197,USWS,NAS,U.S. Well Services Inc Class A,2020-03-28,cs,IEX_4D48324451362D52,US,USD,True,BBG00GKQW829,1670349
8198,USWSW,NAS,U.S. Well Services Inc Warrant 2018-28.05.21 on U.S. Well Svc,2020-03-28,wt,IEX_4E32374B53512D52,US,USD,True,BBG00GKQTS65,1670349
8199,USX,NYS,US Xpress Enterprises Inc. Class A,2020-03-28,cs,IEX_4C354E3447312D52,US,USD,True,BBG004RK8W80,923571
8200,UTES,PSE,Virtus Reaves Utilities ETF,2020-03-28,et,IEX_5834543542442D52,US,USD,True,BBG00B2VXV09,
8201,UTF,NYS,Cohen & Steers Infrastructure Fund Inc,2020-03-28,cef,IEX_463733465A4A2D52,US,USD,True,BBG000LC5QR7,
8202,UTG,ASE,Reaves Utility Income Fund,2020-03-28,cef,IEX_4D53423834522D52,US,USD,True,BBG000BS9MY0,
8203,UTHR,NAS,United Therapeutics Corporation,2020-03-28,cs,IEX_5036475848362D52,US,USD,True,BBG000BV4XJ1,1082554
8204,UTI,NYS,Universal Technical Institute Inc.,2020-03-28,cs,IEX_5448473243522D52,US,USD,True,BBG000BJSMW1,1261654
8205,UTL,NYS,Unitil Corporation,2020-03-28,cs,IEX_484B4D4B4E422D52,US,USD,True,BBG000BW7X97,755001
8206,UTMD,NAS,Utah Medical Products Inc.,2020-03-28,cs,IEX_5742323148522D52,US,USD,True,BBG000HFDNW7,706698
8207,UTRN,PSE,Vesper U.S. Large Cap Short-Term Reversal Strategy ETF,2020-03-28,et,IEX_4B50313847542D52,US,USD,True,BBG00M0XW6F3,
8208,UTSI,NAS,UTStarcom Holdings Corp.,2020-03-28,cs,IEX_443738444C392D52,US,USD,True,BBG000BR0R43,1030471
8209,UTSL,PSE,Direxion Daily Utilities Bull 3X Shares,2020-03-28,et,IEX_5838513944332D52,US,USD,True,BBG00GM47CK5,
8210,UTX,NYS,United Technologies Corporation,2020-03-28,cs,IEX_4D4B433153562D52,US,USD,True,BBG000BW8S60,101829
8211,UTX#,NYS,United Technologies Corporation TEMP,2020-03-28,temp,IEX_4334385852302D52,US,USD,True,BBG00SG8YF75,
8212,UUP,PSE,Invesco DB US Dollar Index Bullish Fund,2020-03-28,et,IEX_4D36383356322D52,US,USD,True,BBG000Q7R318,
8213,UUU,ASE,Universal Security Instruments Inc.,2020-03-28,cs,IEX_5448464B44382D52,US,USD,True,BBG000BW56H9,102109
